source,interview_id,family,probe_level,claim,question,phrase,matched_term,sub_type_guess,definite,tool_level_guess,question_numerals,validator_verdict,validator_rules
P3,s_1f47c5557c,product,OUTCOME,Deprioritised two epics to ship the MVP a quarter early.,How did you measure the impact of shipping the MVP early on user engagement?,impact of shipping the,impact,invented_outcome,1,,,accept,
P3,s_c5531ce78a,product,OPERATIONAL,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,What specific actions did you take daily in the data analytics tool?,data analytics tool,analytics tool,invented_tool,1,generally_entailed,,accept,
P3,s_c5531ce78a,product,OUTCOME,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,What specific metric showed retention improvement and how did the trial changes directly impact it?,trial changes directly impact,impact,invented_outcome,1,,,accept,
P3,s_828f4816fb,product,OUTCOME,Ran discovery interviews with branch staff.,How did you measure the 70% adoption rate among branch staff?,adoption rate,adoption rate,invented_metric,0,,70%,reject,duplicate_content
P3,s_828f4816fb,product,OUTCOME,Ran discovery interviews with branch staff.,How did you measure the 70% adoption rate among branch staff?,adoption rate,adoption rate,invented_metric,0,,70%,reject,duplicate_content
P3,s_828f4816fb,product,DECISION,Ran discovery interviews with branch staff.,What criteria did you use to prioritize feedback from the interviews for the PRD?,interviews for the PRD,prd,invented_artefact,1,,,accept,
P3,s_9e012c0470,product,OUTCOME,Built the experiment backlog and instrumented activation events across the funnel.,"What specific experiment improved activation rates, and how did you measure its success?",success,success,invented_outcome,1,,,reject,multiple_fact_targets
P3,s_9e012c0470,product,OUTCOME,Built the experiment backlog and instrumented activation events across the funnel.,What impact did instrumenting activation events have on conversion rates?,conversion rates,conversion rates,invented_metric,0,,,accept,
P4,s_d0ae84b7da,bpo_operations,DECISION,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What factors did you consider when deciding to redesign the escalation workflow?,escalation workflow,escalation,invented_event,1,,,reject,scope_drift|no_claim_anchor
P4,s_d0ae84b7da,bpo_operations,OPERATIONAL,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How did you use the queue report to identify performance issues?,queue report to identify,queue,invented_tool,1,generally_entailed,,accept,
P4,s_d0ae84b7da,bpo_operations,INCIDENT,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,Describe a specific incident when a pod's performance dropped unexpectedly and how you handled it.,specific incident when a,incident,invented_event,0,,,accept,
P4,s_d0ae84b7da,bpo_operations,INCIDENT,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,Can you describe a specific incident where the callback SLA failed and how you addressed it?,SLA,sla,invented_metric,0,,,reject,no_claim_anchor
P4,s_d0ae84b7da,bpo_operations,INCIDENT,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,Can you describe a specific incident where the callback SLA failed and how you addressed it?,specific incident where the,incident,invented_event,0,,,reject,no_claim_anchor
P4,s_d0ae84b7da,bpo_operations,OPERATIONAL,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What specific actions did you take in Zendesk to review the reopen report?,reopen report,report,invented_artefact,1,,,accept,
P4,s_76a8074a79,bpo_operations,TRANSFER,Managed a team of 22 agents and ran the daily huddle,How would you use your team management approach to reduce AHT?,AHT,aht,invented_metric,0,,,accept,
P4,s_76a8074a79,bpo_operations,INCIDENT,Reduced AHT from 520 seconds to 430 seconds through script standardisation and coaching,Describe a specific incident where script standardisation didn't reduce AHT as expected.,specific incident where script,incident,invented_event,0,,,accept,
P4,s_76a8074a79,bpo_operations,OPERATIONAL,Held SLA attainment at 97% across four queues by rebuilding the roster model,"On ""Held SLA attainment at 97% across four queues by rebuilding the roster model"" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,specifically_unentailed,97%,not_evaluated,
P4,s_720058fcce,bpo_operations,INCIDENT,Drove a 30% improvement in CSAT scores across the entire process,Describe a specific incident when a CSAT score dropped unexpectedly. What did you do?,specific incident when a,incident,invented_event,0,,,accept,
P4,s_720058fcce,bpo_operations,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,How would you apply process optimization to manage a team of 45 agents to consistently exceed CSAT targets?,CSAT,csat,invented_metric,0,,45,reject,duplicate_content
P4,s_720058fcce,bpo_operations,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,How would you apply process optimisation to manage a team of 45 agents and exceed CSAT targets?,CSAT,csat,invented_metric,0,,45,reject,duplicate_content
P4,s_720058fcce,bpo_operations,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,"On ""Delivered a 30% improvement in AHT through advanced process optimisation"" — Suppose you had taken on a team of 45 agents and consistently exceeded all CSAT targets instead. Using the approach you described, where would you start?",CSAT,csat,invented_metric,0,,30% 45,not_evaluated,
P4,s_391636b175,product,OUTCOME,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific changes in the first-run flow led to the activation increase?,activation increase,increase,invented_outcome,1,,,accept,
P4,s_391636b175,product,OPERATIONAL,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the product analytics dashboard each Monday?,product analytics dashboard each,dashboard,invented_tool,1,generally_entailed,,accept,
P4,s_391636b175,product,OUTCOME,Ran 40 user interviews to find the top three pain points before writing the PRD,What was the impact on user retention after addressing the top three pain points?,retention,retention,invented_metric,0,,,accept,
P4,s_391636b175,product,OUTCOME,Ran 40 user interviews to find the top three pain points before writing the PRD,What was the impact on user retention after addressing the top three pain points?,impact on user retention,impact,invented_outcome,1,,,accept,
P4,s_6cd8a970c8,bpo_operations,OPERATIONAL,Managed rosters for 42 agents across three shifts,What steps did you take in the performance tracking software daily?,performance tracking software daily,software,invented_tool,1,generally_entailed,,reject,duplicate_content|no_claim_anchor
P4,s_6cd8a970c8,bpo_operations,OPERATIONAL,Managed rosters for 42 agents across three shifts,How did you use the performance tracking software to adjust daily rosters?,performance tracking software to,software,invented_tool,1,generally_entailed,,accept,
P4,s_dfdab5134c,bpo_operations,OPERATIONAL,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,What specific actions did you take daily in the system to maintain occupancy above 85%?,system to maintain occupancy,system,invented_tool,1,specifically_unentailed,85%,reject,answer_leakage
P4,s_dfdab5134c,bpo_operations,OPERATIONAL,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,How did you use the call handling system daily to maintain occupancy above 85%?,call handling system daily,system,invented_tool,1,specifically_unentailed,85%,reject,answer_leakage
P4,s_dfdab5134c,bpo_operations,OPERATIONAL,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,"On ""Brought AHT down from 8 minutes to 5 and kept occupancy above 85%."" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,specifically_unentailed,5 8 85%,not_evaluated,
P4,s_dfdab5134c,bpo_operations,OUTCOME,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,How did you measure the impact of the AHT reduction on overall customer satisfaction?,impact of the AHT,impact,invented_outcome,1,,,accept,
P4,s_4065e611a6,bpo_operations,INCIDENT,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,Describe a specific incident when shrinkage or abandon rate increased unexpectedly. What happened?,specific incident when shrinkage,incident,invented_event,0,,,accept,
P4,s_4065e611a6,bpo_operations,OPERATIONAL,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What specific steps did you take in your system each morning to monitor shrinkage?,system each morning to,system,invented_tool,1,generally_entailed,,accept,
P4,s_4065e611a6,bpo_operations,OUTCOME,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,How did you verify the reduction in abandon rate from 12% to 5% was effective?,reduction in abandon rate,reduction,invented_outcome,1,,12% 5%,accept,
P4,s_d06533e45b,bpo_operations,OPERATIONAL,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,What specific tasks did you perform daily in the system to manage the nesting batches?,system to manage the,system,invented_tool,1,generally_entailed,,accept,
P4,s_d06533e45b,bpo_operations,OUTCOME,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure the success of the nesting batches?,success of the nesting,success,invented_outcome,1,,,accept,
P4,s_001ddce879,bpo_operations,OPERATIONAL,Reported CX metrics to the client every Monday.,What specific actions did you take inside the reporting system to prepare the CX metrics?,reporting system to prepare,system,invented_tool,1,specifically_unentailed,,accept,
P4,s_001ddce879,bpo_operations,OUTCOME,Reported CX metrics to the client every Monday.,How did you measure the impact of CX metrics on client satisfaction?,impact of CX metrics,impact,invented_outcome,1,,,accept,
P4,s_a9ef9fd633,bpo_operations,OPERATIONAL,Ran workforce planning for a 24x7 contact centre.,What specific actions did you take in the workforce planning system each morning?,workforce planning system each,system,invented_tool,1,generally_entailed,,accept,
P4,s_a9ef9fd633,bpo_operations,OUTCOME,Ran workforce planning for a 24x7 contact centre.,How did you measure the success of your roster adjustments during the flu outbreak?,success of your roster,success,invented_outcome,1,,,accept,
P4,s_65b7dc8f69,customer_support,INCIDENT,Cut first response time from 9 hours to under 2.,Describe a specific incident where reducing response time was most challenging.,specific incident where reducing,incident,invented_event,0,,,accept,
P4,s_65b7dc8f69,customer_support,OPERATIONAL,Cut first response time from 9 hours to under 2.,What specific steps did you take each morning to manage ticket handling in your system?,system,system,invented_tool,1,generally_entailed,,accept,
P4,s_65b7dc8f69,customer_support,OUTCOME,Cut first response time from 9 hours to under 2.,How did you measure the reduction in response time after implementing changes?,reduction in response time,reduction,invented_outcome,1,,,accept,
P4,s_28acef692f,customer_support,OUTCOME,Led the escalation desk for a SaaS product.,How did you measure the success of resolving P1 issues?,success of resolving P1,success,invented_outcome,1,,1,reject,scope_drift
P4,s_28acef692f,customer_support,OUTCOME,Led the escalation desk for a SaaS product.,How did you measure the success of resolving P1 issues?,success of resolving P1,success,invented_outcome,1,,1,reject,scope_drift
P4,s_28acef692f,customer_support,OPERATIONAL,Owned resolution time for P1 issues.,How did you use the support dashboard to track resolution times?,support dashboard to track,dashboard,invented_tool,1,generally_entailed,,accept,
P4,s_28acef692f,customer_support,OPERATIONAL,Ran the chat support queue.,How did you manage daily tasks in the chat support system?,chat support system,system,invented_tool,1,generally_entailed,,accept,
P4,s_fb259eee56,customer_support,INCIDENT,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",Describe a specific incident when handling an enterprise account went wrong.,specific incident when handling,incident,invented_event,0,,,accept,
P4,s_cf35ada00d,customer_support,OPERATIONAL,Reduced reopen rate by a third.,What specific actions did you take in the system to analyze the top ten issues?,system to analyze the,system,invented_tool,1,generally_entailed,,reject,scope_drift
P4,s_cf35ada00d,customer_support,OPERATIONAL,Reduced reopen rate by a third.,What steps did you take each morning to review and adjust the macros?,macros,macros,invented_tool,1,specifically_unentailed,,accept,
P4,s_cf35ada00d,customer_support,OUTCOME,Reduced reopen rate by a third.,How did you measure the reduction in reopen rate after implementing the macros?,macros,macros,invented_tool,1,specifically_unentailed,,accept,
P4,s_cf35ada00d,customer_support,OPERATIONAL,Wrote macros for the top ten issue types.,What actions did you perform in the ticketing system to test and tweak macros?,ticketing system to test,ticketing system,invented_tool,1,generally_entailed,,accept,
P4,s_cf35ada00d,customer_support,OUTCOME,Wrote macros for the top ten issue types.,How did you track and document the 10% drop in reopen rate?,reopen rate,reopen rate,invented_metric,0,,10%,reject,unsupported_metric|duplicate_content|scope_drift
P4,s_cf35ada00d,customer_support,OUTCOME,Wrote macros for the top ten issue types.,How did you track the impact of macros on customer satisfaction?,impact of macros on,impact,invented_outcome,1,,,accept,
P4,s_0fdaa16eeb,customer_support,OPERATIONAL,Took escalation from tier 1 and tracked resolution time week over week.,What specific steps did you take in the system to track resolution times?,system to track resolution,system,invented_tool,1,generally_entailed,,accept,
P4,s_0fdaa16eeb,customer_support,OUTCOME,Took escalation from tier 1 and tracked resolution time week over week.,What changes did you see in resolution times after implementing your tracking system?,tracking system,system,invented_tool,1,generally_entailed,,accept,
P4,s_ea661c1af7,sales,OPERATIONAL,Carrying a quota of $1.2M ARR.,What specific actions did you take in your CRM daily to manage your pipeline?,CRM daily to manage,crm,invented_tool,1,generally_entailed,,reject,no_claim_anchor
P4,s_ea661c1af7,sales,OPERATIONAL,Carrying a quota of $1.2M ARR.,"On ""Carrying a quota of $1.2M ARR."" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,generally_entailed,1.2,not_evaluated,
P4,s_ea661c1af7,sales,OPERATIONAL,Closed 34 deals last year.,How did you use the CRM system to track and manage your deals daily?,CRM system to track,crm,invented_tool,1,generally_entailed,,accept,
P4,s_ea661c1af7,sales,OUTCOME,Closed 34 deals last year.,How did you measure the success of the deals after closing them?,success of the deals,success,invented_outcome,1,,,accept,
P4,s_98bba00656,sales,OPERATIONAL,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",How did you use the CRM system daily to track and convert leads?,CRM system daily to,crm,invented_tool,1,generally_entailed,,accept,
P4,s_6c042589c1,sales,OPERATIONAL,Owned a pipeline of 80 prospects and hit quota six quarters running.,What specific actions did you take in the CRM to track engagement levels?,CRM to track engagement,crm,invented_tool,1,generally_entailed,,accept,
P4,s_6c042589c1,sales,DECISION,Owned a pipeline of 80 prospects and hit quota six quarters running.,"What criteria did you use to decide which high-value leads to focus on after the delay, and why?",delay,delay,invented_event,1,,,accept,
P4,s_12d13a9554,sales,OPERATIONAL,Grew ARR from $400K to $1.1M,What specific tasks did you perform daily in the CRM to track sales progress?,CRM to track sales,crm,invented_tool,1,generally_entailed,,accept,
P4,s_12d13a9554,sales,DECISION,Grew ARR from $400K to $1.1M,What specific sales strategy did you decide to implement to achieve the ARR growth?,ARR growth,growth,invented_outcome,1,,,accept,
P4,s_12d13a9554,sales,OUTCOME,Grew ARR from $400K to $1.1M,What was the most significant change you saw in conversion rates after implementing the targeted outreach campaign?,conversion rates,conversion rates,invented_metric,0,,,accept,
P4,s_12d13a9554,sales,OPERATIONAL,Coached four inside sales reps on closing technique,How did you use the CRM to provide feedback on each rep's progress?,CRM to provide feedback,crm,invented_tool,1,generally_entailed,,accept,
P4,s_12d13a9554,sales,OUTCOME,Coached four inside sales reps on closing technique,How did you measure the improvement in closing rates after coaching the reps?,improvement in closing rates,improvement,invented_outcome,1,,,accept,
P4,s_9ca16afee1,sales,OPERATIONAL,"Ran the deal desk. Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",What specific actions did you perform in the pricing approval system daily?,pricing approval system daily,system,invented_tool,1,generally_entailed,,accept,
P4,s_9ca16afee1,sales,OUTCOME,"Ran the deal desk. Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",How did you measure the impact of your pricing approvals on revenue forecasts?,impact of your pricing,impact,invented_outcome,1,,,accept,
P4,s_9d7b65f9c0,banking_operations,OUTCOME,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure the success of your CASA growth initiatives?,success of your CASA,success,invented_outcome,1,,,accept,
P4,s_30d335d9d8,banking_operations,OUTCOME,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",How did you measure the success of your NPA recovery efforts on those 300 accounts?,success of your NPA,success,invented_outcome,1,,300,reject,answer_leakage
P4,s_86c384ca3e,banking_operations,OPERATIONAL,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What specific actions did you perform in the system when processing a mutual fund transaction?,system when processing a,system,invented_tool,1,generally_entailed,,accept,
P4,s_86c384ca3e,banking_operations,OUTCOME,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What was the impact of your prioritization approach on processing times?,impact of your prioritization,impact,invented_outcome,1,,,accept,
P4,s_eae69901df,software_engineering,INCIDENT,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,Describe a specific incident when deploying to Kubernetes on AWS went wrong.,specific incident when deploying,incident,invented_event,0,,,accept,
P4,s_b2e79c18f4,software_engineering,OUTCOME,Cut p95 latency from 900ms to 180ms.,How did you measure and confirm the reduction in p95 latency?,reduction in p95 latency,reduction,invented_outcome,1,,95,accept,
P4,s_3d00bb1d81,software_engineering,INCIDENT,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",Describe a specific incident when a microservice failed in your pipeline. What happened?,specific incident when a,incident,invented_event,0,,,reject,no_claim_anchor
P4,s_3d00bb1d81,software_engineering,INCIDENT,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",Describe a specific incident when a microservice in your Kafka-Redis pipeline failed. What happened?,specific incident when a,incident,invented_event,0,,,accept,
P4,s_3d00bb1d81,software_engineering,OUTCOME,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you measure the performance improvement after implementing the Kafka-Redis pipelines?,performance improvement after implementing,improvement,invented_outcome,1,,,accept,
P4,s_f5154e5d53,software_engineering,DECISION,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,What specific decision did you make that led to the fourfold improvement in throughput?,fourfold improvement in throughput,improvement,invented_outcome,1,,,accept,
P4,s_f5154e5d53,software_engineering,INCIDENT,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,Describe a specific incident where the new CI/CD pipeline failed.,specific incident where the,incident,invented_event,0,,,accept,
P4,s_f5154e5d53,software_engineering,OUTCOME,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,How did you measure the fourfold increase in throughput?,fourfold increase in throughput,increase,invented_outcome,1,,,accept,
P4,s_517ec3834b,software_engineering,OUTCOME,Wrote the reconciliation service in Java against a Postgres database.,How did you measure the success of the reconciliation service?,success of the reconciliation,success,invented_outcome,1,,,accept,
P4,s_83ef4dfa7d,software_engineering,OUTCOME,Frontend developer building React interfaces against internal APIs.,How did you measure the success of the React interfaces you built?,success of the React,success,invented_outcome,1,,,accept,
P4,s_6e06e9c82b,data_analytics,OUTCOME,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,How did you measure the success of the dashboards you built?,success of the dashboards,success,invented_outcome,1,,,accept,
P4,s_7ac47cf461,data_analytics,DECISION,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",What criteria did you use to decide the tools for building the ETL pipelines?,tools for building the,tools,invented_tool,1,generally_entailed,,accept,
P4,s_7ac47cf461,data_analytics,OUTCOME,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",How did you measure the success of your ETL pipelines?,success of your ETL,success,invented_outcome,1,,,accept,
P4,s_6ea39b150d,data_analytics,OPERATIONAL,Trained a demand forecast model and took it to production.,What specific tasks did you perform daily in the system to monitor the model's performance?,system to monitor the,system,invented_tool,1,generally_entailed,,accept,
P4,s_af9c5440a3,data_analytics,OUTCOME,Owned the SQL reporting stack and a Looker dashboard suite for the commercial team.,How did you measure the success of the Looker dashboards for the commercial team?,success of the Looker,success,invented_outcome,1,,,accept,
P4,s_81ed8d6214,hr_recruitment,OUTCOME,"Recruiter hiring for engineering roles. Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.",How did you measure the success of using Naukri and Shine for these hires?,success of using Naukri,success,invented_outcome,1,,,accept,
P4,s_0df9c528e3,hr_recruitment,INCIDENT,HRBP for a 400-person org.,Describe a specific incident when engagement survey results were unexpectedly low. What did you do?,specific incident when engagement,incident,invented_event,0,,,accept,
P4,s_0df9c528e3,hr_recruitment,DECISION,HRBP for a 400-person org.,"What specific decision did you make to reduce attrition by 15%, and what options did you reject?",attrition,attrition,invented_metric,0,,15%,reject,no_claim_anchor
P4,s_811e7ed307,hr_recruitment,OUTCOME,Ran interview panels and reduced time to offer from 40 days to 22.,How did you track the reduction from 40 to 22 days in your process?,reduction from,reduction,invented_outcome,1,,22 40,reject,answer_leakage
P4,s_811e7ed307,hr_recruitment,OUTCOME,Ran interview panels and reduced time to offer from 40 days to 22.,How did you measure the reduction in time to offer?,reduction in time to,reduction,invented_outcome,1,,,accept,
P4,s_ec0f59f9ed,hr_recruitment,OPERATIONAL,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What specific tasks did you perform in the payroll system each day?,payroll system each day,system,invented_tool,1,generally_entailed,,accept,
P4,s_ec0f59f9ed,hr_recruitment,OUTCOME,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you measure the success of your onboarding processes?,success of your onboarding,success,invented_outcome,1,,,accept,
