example_id,sub_type,tool_level,provenance,human_verdict,human_note,contested,claim,question,rationale
p5_698b7d,invented_event,,constructed,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,What did you do when the batch failed its go-live review?,definite failure
p5_a1ad0e,invented_event,,constructed,,,0,Managed a team of 45 agents and consistently exceeded all CSAT targets,How did you handle the month CSAT collapsed?,"definite collapse, contradicting the claim"
p5_b695d9,invented_event,,constructed,,,0,Owned resolution time for P1 issues.,What did you do during the multi-day outage?,definite outage
p5_427499,invented_event,,constructed,,,0,Wrote macros for the top ten issue types.,How did you recover from the macro that sent the wrong reply to customers?,definite error
p5_b698cb,invented_event,,constructed,,,0,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",What did you do when the largest account threatened to churn?,definite threat
p5_88d4f1,invented_event,,constructed,,,0,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,How did you handle the sale weekend that broke the queue?,definite weekend
p5_813669,invented_event,,constructed,,,0,Reviewed loan files for underwriting and cleared KYC exceptions before disbursement.,What did you do after the fraudulent file got through?,definite fraud
p5_00743a,invented_event,,constructed,,,0,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",How did you resolve the month-end reconciliation break?,definite break
p5_4f8168,invented_event,,constructed,,,0,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",What did you do when the court stayed the recovery?,definite ruling
p5_e7fcc1,invented_event,,constructed,,,0,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,How did you handle the warehouse outage before the board meeting?,two definite events
p5_a41bd4,invented_event,,constructed,,,0,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",What did you do about the backfill that corrupted the extracts?,definite corruption
p5_25d996,invented_event,,constructed,,,0,Owned the SQL reporting stack and a Looker dashboard suite for the commercial team.,How did you respond to the reporting error the CFO found?,definite error and person
p5_202d96,invented_event,,constructed,,,0,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,What did you do the week the report went out wrong?,definite week
p5_623f3d,invented_event,,constructed,,,0,Trained a demand forecast model and took it to production.,How did you handle the model drift incident?,definite incident
p5_bf34fb,invented_event,,constructed,,,0,Frontend developer building React interfaces against internal APIs.,What did you do when the release broke the checkout page?,definite breakage
p5_6e9847,invented_event,,constructed,,,0,Wrote the reconciliation service in Java against a Postgres database.,How did you deal with the database failover during month-end?,definite failover
p5_949fd6,invented_event,,constructed,,,0,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What did you do about the payroll run that missed a business unit?,definite miss
p5_b9ad55,invented_event,,constructed,,,0,"Owned attrition, engagement surveys and the onboarding programme.",How did you respond to the resignation wave in the second quarter?,definite wave
p5_5d3804,invented_event,,constructed,,,0,Owned the recruiting funnel from sourcing through offer rollout.,What did you do when the hiring manager rejected the whole shortlist?,definite rejection
p5_c0f106,invented_event,,constructed,,,0,Carrying a quota of $1.2M ARR.,How did you recover from the quarter you missed quota?,definite miss
p5_a70b9e,invented_event,,constructed,,,0,Owned a pipeline of 80 prospects and hit quota six quarters running.,What did you do when the biggest deal slipped out of the quarter?,definite slip
p5_3abc0e,invented_event,,constructed,,,0,Coached four inside sales reps on closing technique,How did you handle the rep who refused the coaching?,definite refusal
p5_588933,invented_event,,constructed,,,0,Built the experiment backlog and instrumented activation events across the funnel.,What did you do when the experiment shipped with broken tracking?,definite failure
p5_4d3250,invented_event,,constructed,,,0,Arranged vendor contracts and dealt with escalations through the regional office.,How did you handle the contract that lapsed?,definite lapse
p5_7724bb,invented_metric,,constructed,,,0,Managed a team of 22 agents and ran the daily huddle,How do you calculate your team's schedule adherence?,adherence never claimed
p5_da5400,invented_metric,,constructed,,,0,Ran the chat support queue.,How was your concurrency rate measured?,concurrency never claimed
p5_e256ea,invented_metric,,constructed,,,0,Led the escalation desk for a SaaS product.,How did you define your escalation leakage rate?,leakage rate never claimed
p5_ae60cc,invented_metric,,constructed,,,0,Wrote macros for the top ten issue types.,How did you measure macro deflection rate?,deflection never claimed
p5_a08e59,invented_metric,,constructed,,,0,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",How did you compute net revenue retention for your book?,NRR never claimed
p5_20763d,invented_metric,,constructed,,,0,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,How did you define your one-touch resolution rate?,one-touch never claimed
p5_f3eb57,invented_metric,,constructed,,,0,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure your branch's cost-to-income ratio?,"a P&L metric, not an ops one"
p5_53e536,invented_metric,,constructed,,,0,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",How did you track first-pass yield on disbursement files?,FPY never claimed
p5_bbae9c,invented_metric,,constructed,,,0,Reviewed loan files for underwriting and cleared KYC exceptions before disbursement.,How did you measure your exception recurrence rate?,recurrence never claimed
p5_1a0b03,invented_metric,,constructed,,,0,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",How did you calculate your roll-rate each month?,roll-rate never claimed
p5_f55030,invented_metric,,constructed,,,0,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",How did you measure pipeline freshness?,freshness never claimed
p5_f5cbf1,invented_metric,,constructed,,,0,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",How did you define your DAG failure rate?,failure rate never claimed
p5_3c4971,invented_metric,,constructed,,,0,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,How did you measure query cost per report?,cost per report never claimed
p5_193abe,invented_metric,,constructed,,,0,Trained a demand forecast model and took it to production.,How did you track the model's population stability index?,PSI never claimed
p5_469390,invented_metric,,constructed,,,0,Frontend developer building React interfaces against internal APIs.,How did you measure your Core Web Vitals?,CWV never claimed
p5_4cfcc4,invented_metric,,constructed,,,0,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you define your event loss rate?,loss rate never claimed
p5_56965b,invented_metric,,constructed,,,0,Wrote the reconciliation service in Java against a Postgres database.,How did you measure break rate on reconciliation?,break rate never claimed
p5_6a6af9,invented_metric,,constructed,,,0,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you measure payroll accuracy rate?,accuracy rate never claimed
p5_0626e5,invented_metric,,constructed,,,0,HRBP for a 400-person org.,How did you calculate your span-of-control ratio?,span of control never claimed
p5_9d8921,invented_metric,,constructed,,,0,"Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.",How did you track your source-of-hire mix?,mix never claimed
p5_6e06f3,invented_metric,,constructed,,,0,Owned the recruiting funnel from sourcing through offer rollout.,How did you measure candidate NPS?,candidate NPS never claimed
p5_dd0d3f,invented_metric,,constructed,,,0,Built the experiment backlog and instrumented activation events across the funnel.,How did you define your experiment velocity?,velocity never claimed
p5_cd1458,invented_metric,,constructed,,,0,"Ran 18 experiments against a single north star metric, 5 of which shipped",How did you measure time-to-decision on each experiment?,TTD never claimed
p5_49ffc8,invented_metric,,constructed,,,0,Tracked adoption after launch.,How did you measure day-30 retention?,a different measure from adoption
p5_8132b2,invented_metric,,constructed,,,0,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,How did you measure average deal cycle length?,cycle length never claimed
p5_58490c,invented_metric,,constructed,,,0,Owned a pipeline of 80 prospects and hit quota six quarters running.,How did you measure your logo churn?,churn never claimed
p5_a4edb1,invented_metric,,constructed,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How did you measure pod-level utilisation?,utilisation never claimed
p5_9276f6,invented_metric,,constructed,,,0,Managed rosters for 42 agents across three shifts,How did you calculate roster efficiency?,roster efficiency never claimed
p5_721c12,invented_metric,,constructed,,,0,Ran weekly calibration with the quality team,How did you measure inter-rater reliability?,IRR never claimed
p5_61c665,invented_metric,,constructed,,,0,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",How did you compute your forecast accuracy?,forecast accuracy never claimed
p5_f8e285,invented_metric,,constructed,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure speed to competency?,speed to competency never claimed
p5_093e56,invented_metric,,constructed,,,0,Managed a team of 45 agents and consistently exceeded all CSAT targets,How did you calculate your transfer rate?,transfer rate never claimed
p5_6443d4,invented_metric,,constructed,,,0,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,How did you measure your customer effort score?,CES is a different measure from CSAT
p5_0a8cdc,invented_metric,,constructed,,,0,Held SLA attainment at 97% across four queues by rebuilding the roster model,How did you compute your forecast-to-actual variance?,variance never claimed
p5_9c6cee,invented_metric,,constructed,,,0,Ran discovery interviews with branch staff.,How did you measure feature request frequency?,frequency never claimed
p5_59eeb9,invented_metric,,constructed,,,0,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure your interview saturation rate?,saturation never claimed
p5_757a71,invented_metric,,constructed,,,0,Deprioritised two epics to ship the MVP a quarter early.,How did you measure your sprint predictability?,predictability never claimed
p5_daf079,invented_metric,,constructed,,,0,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",How did you measure your milestone slip rate?,slip rate never claimed
p5_a40bc5,invented_metric,,constructed,,,0,Drove client engagement through structured quarterly reviews with each account owner.,How did you calculate client health scores?,health score never claimed
p5_56ca2f,invented_metric,,constructed,,,0,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",How did you measure invoice ageing?,ageing never claimed
p5_4e1fd0,invented_metric,,constructed,,,0,Arranged vendor contracts and dealt with escalations through the regional office.,How did you measure vendor SLA compliance?,compliance measure never claimed
p5_18488a,invented_metric,,constructed,,,0,Re-engineered the intake process and delivered rapid improvements in turnaround time.,How did you calculate process cycle efficiency?,PCE never claimed
p5_5d101f,invented_artefact,,constructed,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What did you include in the weekly business review deck?,a deck is never claimed
p5_2dd8ee,invented_artefact,,constructed,,,0,Managed rosters for 42 agents across three shifts,How did you structure the shrinkage forecast document?,document never claimed
p5_e33650,invented_artefact,,constructed,,,0,Ran weekly calibration with the quality team,What went into the calibration charter?,charter never claimed
p5_5a8245,invented_artefact,,constructed,,,0,Ran workforce planning for a 24x7 contact centre.,How did you build the capacity plan sign-off memo?,memo never claimed
p5_a20109,invented_artefact,,constructed,,,0,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What did the shrinkage RCA report cover?,RCA report never claimed
p5_e5e42b,invented_artefact,,constructed,,,0,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What was in your CSAT improvement roadmap?,roadmap never claimed
p5_4f5c50,invented_artefact,,constructed,,,0,Held SLA attainment at 97% across four queues by rebuilding the roster model,How did you structure the roster model design document?,design document never claimed
p5_61bf40,invented_artefact,,constructed,,,0,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,What did the AHT reduction business case contain?,business case never claimed
p5_79a018,invented_artefact,,constructed,,,0,Managed a team of 45 agents and consistently exceeded all CSAT targets,What did you put in the quarterly appraisal template?,template never claimed
p5_64e2a1,invented_artefact,,constructed,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you write the nesting exit criteria document?,document never claimed
p5_f0d0fc,invented_artefact,,constructed,,,0,Reduced reopen rate by a third.,What did the reopen postmortem write-up conclude?,write-up never claimed
p5_1700bd,invented_artefact,,constructed,,,0,Cut first response time from 9 hours to under 2.,What was in the first-response runbook?,runbook never claimed
p5_0935e6,invented_artefact,,constructed,,,0,Led the escalation desk for a SaaS product.,How did you write the P1 escalation matrix?,matrix never claimed
p5_d5bb96,invented_artefact,,constructed,,,0,Ran the chat support queue.,What did the chat staffing proposal recommend?,proposal never claimed
p5_276754,invented_artefact,,constructed,,,0,Took escalation from tier 1 and tracked resolution time week over week.,What went into the tier-1 deflection playbook?,playbook never claimed
p5_f8134e,invented_artefact,,constructed,,,0,Wrote macros for the top ten issue types.,What did the macro style guide specify?,style guide never claimed
p5_0869c8,invented_artefact,,constructed,,,0,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",How did you build each account's success plan?,success plan never claimed
p5_dea604,invented_artefact,,constructed,,,0,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,What did the support coverage SOP say?,SOP never claimed
p5_900e64,invented_artefact,,constructed,,,0,Owned resolution time for P1 issues.,What did you include in the P1 postmortem template?,template never claimed
p5_c0d1d5,invented_artefact,,constructed,,,0,Ran KYC audits and reported exceptions to the risk committee.,How did you draft the KYC remediation plan?,remediation plan never claimed
p5_4614b6,invented_artefact,,constructed,,,0,Reviewed loan files for underwriting and cleared KYC exceptions before disbursement.,What did the credit policy exception note contain?,note never claimed
p5_2f1f05,invented_artefact,,constructed,,,0,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",How did you prepare the disbursement checklist?,checklist never claimed
p5_7b34df,invented_artefact,,constructed,,,0,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",What did the branch growth plan commit to?,plan never claimed
p5_8c2410,invented_artefact,,constructed,,,0,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What was in the claims quality manual?,manual never claimed
p5_34b360,invented_artefact,,constructed,,,0,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",What did the recovery dashboard specification require?,specification never claimed
p5_14daf7,invented_artefact,,constructed,,,0,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",What did the data contract document specify?,data contract never claimed
p5_dc5bf0,invented_artefact,,constructed,,,0,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,What did the dashboard style guide mandate?,style guide never claimed
p5_8b2cad,invented_artefact,,constructed,,,0,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",How did you write the data lineage catalogue?,catalogue never claimed
p5_b95b76,invented_artefact,,constructed,,,0,Owned the SQL reporting stack and a Looker dashboard suite for the commercial team.,What was in the metrics definition glossary?,glossary never claimed
p5_35fe20,invented_artefact,,constructed,,,0,Trained a demand forecast model and took it to production.,What did the model card record?,model card never claimed
p5_79d602,invented_artefact,,constructed,,,0,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,What did the reporting requirements document ask for?,requirements doc never claimed
p5_50aeb8,invented_artefact,,constructed,,,0,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,What did the API design RFC propose?,RFC never claimed
p5_56ddf3,invented_artefact,,constructed,,,0,Cut p95 latency from 900ms to 180ms.,What did the performance test plan cover?,test plan never claimed
p5_fdb2f4,invented_artefact,,constructed,,,0,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",What did the event schema registry document define?,registry doc never claimed
p5_1d8657,invented_artefact,,constructed,,,0,Frontend developer building React interfaces against internal APIs.,What did the component library spec require?,spec never claimed
p5_11c201,invented_artefact,,constructed,,,0,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,What did the release checklist include?,checklist never claimed
p5_506063,invented_artefact,,constructed,,,0,Wrote the reconciliation service in Java against a Postgres database.,What did the reconciliation SOP prescribe?,SOP never claimed
p5_d264c0,invented_artefact,,constructed,,,0,Built a sourcing team of six and cut attrition in the first 90 days by half.,What did the sourcing playbook recommend?,playbook never claimed
p5_587f55,invented_artefact,,constructed,,,0,HRBP for a 400-person org.,What did the workforce plan project?,plan never claimed
p5_9a4bd9,invented_artefact,,constructed,,,0,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",What did the campus engagement calendar cover?,calendar never claimed
p5_d27f39,invented_artefact,,constructed,,,0,"Owned attrition, engagement surveys and the onboarding programme.",What did the attrition RCA deck conclude?,deck never claimed
p5_356df5,invented_artefact,,constructed,,,0,Ran interview panels and reduced time to offer from 40 days to 22.,What did the interviewer training deck cover?,deck never claimed
p5_990494,invented_artefact,,constructed,,,0,Carrying a quota of $1.2M ARR.,What did your territory plan commit to?,territory plan never claimed
p5_b5d92b,invented_artefact,,constructed,,,0,Coached four inside sales reps on closing technique,What did the coaching curriculum document contain?,curriculum never claimed
p5_518a98,invented_artefact,,constructed,,,0,Ran 40 user interviews to find the top three pain points before writing the PRD,What did the research synthesis report conclude?,the PRD is claimed; a synthesis report is not
p5_e19899,invented_condition,,constructed,,,0,Led the escalation desk for a SaaS product.,Describe an incident where a P1 breached the 30-minute response SLA.,30-min SLA invented
p5_c24aa8,invented_condition,,constructed,,,0,Cut first response time from 9 hours to under 2.,How did you handle tickets that exceeded the 4-hour escalation cap?,4-hour cap invented
p5_55b02a,invented_condition,,constructed,,,0,Ran the chat support queue.,What did you do when concurrency went above 3 chats per agent?,concurrency limit invented
p5_dd4987,invented_condition,,constructed,,,0,Owned resolution time for P1 issues.,How often did you miss the 24-hour resolution target?,24-hour target invented
p5_50eb11,invented_condition,,constructed,,,0,Reduced reopen rate by a third.,What happened when reopens crossed the 5% threshold?,5% threshold invented
p5_07cf7a,invented_condition,,constructed,,,0,Wrote macros for the top ten issue types.,How did you handle macros used in under 10% of tickets?,10% usage floor invented
p5_b19640,invented_condition,,constructed,,,0,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,What did you do when a queue passed the 50-ticket backlog limit?,50-ticket limit invented
p5_424ed4,invented_condition,,constructed,,,0,Took escalation from tier 1 and tracked resolution time week over week.,How did you treat cases older than 7 days?,7-day age rule invented
p5_0bc984,invented_condition,,constructed,,,0,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",What did you do for accounts below the 70% health-score floor?,health-score floor invented
p5_3f199a,invented_condition,,constructed,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How did you handle a pod dropping below 90% adherence?,90% adherence bar invented
p5_4387dd,invented_condition,,constructed,,,0,Managed rosters for 42 agents across three shifts,What did you do when shrinkage went past 12%?,12% shrinkage cap invented
p5_909d30,invented_condition,,constructed,,,0,Ran weekly calibration with the quality team,How did you treat auditors scoring outside the plus or minus 5% band?,5% band invented
p5_44dbf6,invented_condition,,constructed,,,0,Managed a team of 22 agents and ran the daily huddle,What happened when an agent missed the 85% quality cut-off?,85% cut-off invented
p5_c8bfe7,invented_condition,,constructed,,,0,Ran workforce planning for a 24x7 contact centre.,How did you plan for the 80/20 service-level standard?,80/20 standard invented
p5_b40569,invented_condition,,constructed,,,0,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What did you do when abandon rate breached 5%?,5% abandon threshold invented
p5_e21578,invented_condition,,constructed,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you handle trainees below the 75% nesting pass mark?,75% pass mark invented
p5_47e2ca,invented_condition,,constructed,,,0,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,How did you respond to any week where CSAT fell under 85%?,85% floor invented
p5_701582,invented_condition,,constructed,,,0,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,What did you do when AHT drifted above the 6-minute ceiling?,6-minute ceiling invented
p5_c563a1,invented_condition,,constructed,,,0,Managed a team of 45 agents and consistently exceeded all CSAT targets,How did you handle the 95% CSAT floor for the account?,95% floor invented
p5_65a77c,invented_condition,,constructed,,,0,Delivered a 30% improvement in AHT through advanced process optimisation,What did you do about processes still above the 7-minute limit?,7-minute limit invented
p5_db5811,invented_condition,,constructed,,,0,Drove a 30% improvement in CSAT scores across the entire process,How did you handle the client's 90% CSAT contractual minimum?,contractual minimum invented
p5_0e6b56,invented_condition,,constructed,,,0,Held SLA attainment at 97% across four queues by rebuilding the roster model,What did you do when a queue slipped under the 95% penalty threshold?,penalty threshold invented
p5_bfa9cd,invented_condition,,constructed,,,0,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",How did you handle files breaching the 48-hour disbursement TAT?,48-hour TAT invented
p5_e36f81,invented_condition,,constructed,,,0,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",What did you do when reconciliation broke the same-day cut-off?,same-day cut-off invented
p5_06b120,invented_condition,,constructed,,,0,Ran KYC audits and reported exceptions to the risk committee.,How did you treat exceptions open beyond 30 days?,30-day rule invented
p5_dc086f,invented_condition,,constructed,,,0,Reviewed loan files for underwriting and cleared KYC exceptions before disbursement.,What happened when a file exceeded the 3-exception limit?,3-exception limit invented
p5_619ec0,invented_condition,,constructed,,,0,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,How did you handle claims above the 5 lakh authority limit?,authority limit invented
p5_1f1526,invented_condition,,constructed,,,0,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",What did you do for accounts past the 50 lakh write-off threshold?,write-off threshold invented
p5_9684cf,invented_condition,,constructed,,,0,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",How did you handle DAGs running longer than 2 hours?,2-hour runtime rule invented
p5_73fe36,invented_condition,,constructed,,,0,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,What did you do when a dashboard took over 30 seconds to load?,30-second budget invented
p5_ee9ab3,invented_condition,,constructed,,,0,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",How did you treat freshness beyond the 6-hour SLA?,6-hour SLA invented
p5_af6ade,invented_condition,,constructed,,,0,Owned the SQL reporting stack and a Looker dashboard suite for the commercial team.,What happened when query cost exceeded the monthly credit cap?,credit cap invented
p5_ae3e33,invented_condition,,constructed,,,0,Trained a demand forecast model and took it to production.,How did you act when MAPE went above 15%?,15% MAPE bar invented
p5_9f6dee,invented_condition,,constructed,,,0,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,What did you do when weekly reporting slipped past Tuesday noon?,deadline invented
p5_10e74b,invented_condition,,constructed,,,0,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,How did you handle endpoints breaching the 200ms budget?,200ms budget invented
p5_852942,invented_condition,,constructed,,,0,Cut p95 latency from 900ms to 180ms.,What did you do when p99 exceeded 500ms?,a DIFFERENT percentile and a new threshold
p5_71b552,invented_condition,,constructed,,,0,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.","How did you respond when consumer lag passed 10,000 messages?",lag threshold invented
p5_46c3af,invented_condition,,constructed,,,0,Frontend developer building React interfaces against internal APIs.,What did you do when bundle size crossed 250KB?,size budget invented
p5_41f226,invented_condition,,constructed,,,0,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,How did you handle deploys longer than the 15-minute window?,deploy window invented
p5_11f453,invented_condition,,constructed,,,0,Wrote the reconciliation service in Java against a Postgres database.,What did you do when breaks exceeded 0.5% of volume?,break tolerance invented
p5_f945ed,invented_condition,,constructed,,,0,Built a sourcing team of six and cut attrition in the first 90 days by half.,How did you handle recruiters below the 4-hire quarterly bar?,hiring bar invented
p5_3237ce,invented_condition,,constructed,,,0,HRBP for a 400-person org.,What did you do when attrition passed the 18% annual cap?,attrition cap invented
p5_d3f8e7,invented_condition,,constructed,,,0,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",How did you handle campuses below the 60% conversion floor?,conversion floor invented
p5_9f0567,invented_condition,,constructed,,,0,Ran interview panels and reduced time to offer from 40 days to 22.,What did you do when a panel exceeded the 5-day feedback SLA?,feedback SLA invented
p5_b49772,invented_condition,,constructed,,,0,Owned the recruiting funnel from sourcing through offer rollout.,How did you treat requisitions open beyond 45 days?,45-day rule invented
p5_8bfeaf,invented_condition,,constructed,,,0,Carrying a quota of $1.2M ARR.,What did you do in quarters where you fell below the 80% attainment floor?,attainment floor invented
p5_f6680e,invented_condition,,constructed,,,0,Ran the deal desk.,How did you handle discounts above the 20% approval threshold?,approval threshold invented
p5_3dc73f,invented_condition,,constructed,,,0,Deprioritised two epics to ship the MVP a quarter early.,What did you do when an epic exceeded its 3-sprint budget?,sprint budget invented
p5_43bfcd,invented_outcome,,constructed,,,0,Managed a team of 22 agents and ran the daily huddle,How did you sustain the productivity gain the huddles produced?,gain asserted
p5_2b7e65,invented_outcome,,constructed,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What caused the drop in escalations after you restructured the pods?,drop asserted
p5_ba77ee,invented_outcome,,constructed,,,0,Managed rosters for 42 agents across three shifts,How did you verify the improvement in coverage?,improvement asserted
p5_305557,invented_outcome,,constructed,,,0,Ran weekly calibration with the quality team,How did you measure the lift in audit scores after calibration?,lift asserted
p5_6d680b,invented_outcome,,constructed,,,0,Ran workforce planning for a 24x7 contact centre.,What drove the reduction in overtime?,reduction asserted
p5_1c0b40,invented_outcome,,constructed,,,0,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,How did you confirm the abandon-rate improvement held?,improvement asserted
p5_1ad498,invented_outcome,,constructed,,,0,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",What explains the occupancy gain over the year?,gain asserted
p5_62b383,invented_outcome,,constructed,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure the improvement in new hires' confidence?,improvement asserted
p5_e10dd2,invented_outcome,,constructed,,,0,Managed a team of 45 agents and consistently exceeded all CSAT targets,How did you sustain the year-on-year CSAT increase?,"an increase, not just attainment"
p5_388cde,invented_outcome,,constructed,,,0,Ran the chat support queue.,What caused the fall in queue wait times?,fall asserted
p5_796ae1,invented_outcome,,constructed,,,0,Led the escalation desk for a SaaS product.,How did you measure the reduction in repeat escalations?,reduction asserted
p5_e86f41,invented_outcome,,constructed,,,0,Owned resolution time for P1 issues.,How did you verify the improvement in P1 resolution?,improvement asserted
p5_9b7016,invented_outcome,,constructed,,,0,Wrote macros for the top ten issue types.,How did you measure the handle-time savings the macros produced?,savings asserted
p5_204447,invented_outcome,,constructed,,,0,Took escalation from tier 1 and tracked resolution time week over week.,What drove the week-on-week improvement?,improvement asserted; tracking is not improving
p5_6be642,invented_outcome,,constructed,,,0,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",How did you measure the renewal uplift across your book?,uplift asserted
p5_2f6838,invented_outcome,,constructed,,,0,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,What caused the improvement in first-contact resolution?,improvement asserted
p5_d4d174,invented_outcome,,constructed,,,0,Ran KYC audits and reported exceptions to the risk committee.,How did you measure the fall in audit exceptions?,fall asserted; the claim only reports them
p5_0430e7,invented_outcome,,constructed,,,0,Reviewed loan files for underwriting and cleared KYC exceptions before disbursement.,How did you confirm the reduction in rework?,reduction asserted
p5_b8accb,invented_outcome,,constructed,,,0,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",What drove the improvement in disbursement turnaround?,improvement asserted
p5_fb6c06,invented_outcome,,constructed,,,0,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure the reduction in reconciliation breaks?,reduction asserted
p5_36537e,invented_outcome,,constructed,,,0,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,How did you verify the accuracy gain after the process change?,gain and change both asserted
p5_603018,invented_outcome,,constructed,,,0,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",How did you measure the improvement in recovery rate?,improvement asserted
p5_f13bf0,invented_outcome,,constructed,,,0,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",How did you measure the reduction in pipeline runtime?,reduction asserted
p5_793bbe,invented_outcome,,constructed,,,0,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,What drove the increase in dashboard adoption?,increase asserted
p5_3591bb,invented_outcome,,constructed,,,0,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",How did you confirm the drop in failed runs?,drop asserted
p5_73bc20,invented_outcome,,constructed,,,0,Owned the SQL reporting stack and a Looker dashboard suite for the commercial team.,How did you measure the time saved for the commercial team?,savings asserted
p5_a27231,invented_outcome,,constructed,,,0,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,What caused the improvement in reporting turnaround?,improvement asserted
p5_f69081,invented_outcome,,constructed,,,0,Trained a demand forecast model and took it to production.,How did you measure the forecast accuracy improvement?,improvement asserted
